33,184,1,76,1
117,110,32,117,1
13,10,36,55,1
135,88,24,193,1
102,135,88,30,1
30,193,195,16,1
88,24,51,192,1
102,137,88,24,1
114,93,32,98,1
32,98,121,32,1
48,48,32,47,1
208,60,84,116,1
102,171,199,7,1
102,184,205,32,1
102,137,71,73,1
71,103,102,137,1
102,137,71,103,1
0,199,71,75,1
205,32,13,0,1
205,32,103,0,1
137,139,215,1,1
227,11,137,139,1
96,232,245,1,1
131,124,36,44,1
36,44,36,15,1
60,139,115,12,1
36,56,104,3,1
0,86,141,181,1
255,116,36,56,1
86,205,32,65,1
15,133,99,1,1
69,15,133,82,1
69,88,69,15,1
0,51,192,180,1
192,180,213,106,1
66,232,249,254,1
147,51,192,180,1
139,247,232,194,1
0,51,192,180,1
232,194,254,255,1
0,51,192,180,1
183,87,20,141,1
102,15,183,87,1
15,183,71,6,1
20,141,84,2,1
80,185,29,3,1
0,51,192,180,1
20,61,120,86,1
70,16,59,70,1
88,119,123,80,1
57,70,16,115,1
3,137,70,16,1
70,8,41,71,1
1,71,80,135,1
86,52,18,232,1
41,71,80,88,1
232,216,253,255,1
3,70,12,137,1
69,15,135,71,1
86,20,139,245,1
139,245,232,216,1
51,192,180,215,1
86,52,18,139,1
157,255,37,120,1
86,52,18,65,1
119,97,105,116,1
105,102,105,99,1
101,32,115,97,1
46,46,0,51,1
229,64,134,224,1
210,247,241,11,1
3,208,229,64,1
33,184,1,76,1
117,110,32,117,1
13,10,36,55,1
96,232,70,3,1
144,100,255,48,1
102,135,88,24,1
88,24,193,203,1
102,137,88,30,1
193,195,16,102,1
137,88,24,51,1
24,51,192,100,1
93,32,98,121,1
97,114,93,32,1
48,48,48,32,1
33,208,60,84,1
15,132,126,0,1
89,144,144,144,1
137,71,89,144,1
144,144,144,102,1
0,144,144,144,1
0,144,144,144,1
0,205,32,13,1
144,144,144,144,1
139,245,139,248,1
80,205,32,103,1
11,137,139,45,1
84,15,35,208,1
97,157,207,233,1
0,199,133,18,1
0,131,124,36,1
124,36,44,36,1
139,115,12,252,1
36,60,139,115,1
173,255,116,36,1
44,36,15,133,1
86,141,181,116,1
116,36,56,104,1
0,86,205,32,1
144,144,144,144,1
129,124,6,252,1
51,192,180,213,1
88,69,15,133,1
232,225,254,255,1
91,66,232,225,1
180,216,232,209,1
144,144,144,144,1
0,51,192,180,1
60,137,149,30,1
0,144,144,144,1
20,144,144,144,1
102,15,183,87,1
63,77,90,144,1
3,149,30,3,1
183,71,6,144,1
141,189,120,4,1
183,87,20,144,1
139,70,8,144,1
51,192,180,214,1
16,144,144,144,1
144,144,144,144,1
80,185,116,3,1
144,144,118,10,1
144,144,144,144,1
16,144,144,144,1
20,144,144,144,1
79,56,144,144,1
51,192,180,214,1
139,70,16,144,1
18,88,15,135,1
144,144,80,185,1
144,232,176,0,1
144,144,137,70,1
57,70,16,144,1
15,135,167,0,1
16,144,144,144,1
137,70,16,144,1
135,70,8,144,1
144,144,88,139,1
144,144,115,22,1
1,71,80,144,1
144,144,144,137,1
41,71,80,144,1
144,144,88,3,1
144,144,137,69,1
144,144,144,144,1
255,90,184,1,1
69,15,135,71,1
20,144,144,144,1
52,18,232,137,1
144,144,144,184,1
0,185,116,3,1
139,247,232,83,1
255,37,120,86,1
129,237,87,3,1
97,157,255,37,1
144,144,144,144,1
116,5,144,144,1
208,229,64,134,1
64,134,224,5,1
195,229,64,3,1
33,184,1,76,1
117,110,32,117,1
13,10,36,55,1
96,232,96,3,1
144,100,255,48,1
102,135,88,24,1
88,24,193,203,1
102,137,88,30,1
193,195,16,102,1
137,88,24,51,1
24,51,192,100,1
97,114,93,32,1
93,32,98,121,1
33,208,60,84,1
89,144,144,144,1
0,144,144,144,1
48,48,48,32,1
0,144,144,144,1
144,144,144,102,1
137,71,89,144,1
15,132,126,0,1
0,205,32,13,1
144,144,144,144,1
97,157,207,233,1
156,96,232,79,1
139,245,139,248,1
80,205,32,103,1
11,137,139,45,1
84,15,35,208,1
0,199,133,18,1
0,131,124,36,1
124,36,44,36,1
44,36,15,133,1
36,60,139,115,1
144,144,144,144,1
116,36,56,104,1
139,115,12,252,1
173,255,116,36,1
0,86,205,32,1
86,141,181,142,1
232,225,254,255,1
129,124,6,252,1
51,192,180,213,1
88,69,15,133,1
91,66,232,225,1
180,216,232,209,1
144,144,144,144,1
51,192,180,214,1
60,137,149,30,1
0,144,144,144,1
63,77,90,144,1
0,51,192,180,1
183,71,6,144,1
16,144,144,144,1
102,15,183,87,1
183,87,20,144,1
20,144,144,144,1
51,192,180,214,1
144,144,80,185,1
139,70,16,144,1
20,144,144,144,1
144,144,118,10,1
139,70,8,144,1
144,144,144,144,1
15,135,167,0,1
16,144,144,144,1
18,88,15,135,1
3,149,30,3,1
144,144,137,70,1
16,144,144,144,1
57,70,16,144,1
144,144,115,22,1
144,144,144,144,1
144,144,144,144,1
137,70,16,144,1
144,144,88,139,1
79,56,144,144,1
135,70,8,144,1
144,144,88,3,1
1,71,80,144,1
41,71,80,144,1
144,144,137,69,1
144,144,144,137,1
69,15,135,71,1
52,18,232,137,1
255,90,184,1,1
20,144,144,144,1
144,144,144,184,1
139,247,232,83,1
255,37,120,86,1
97,157,255,37,1
32,115,97,99,1
102,105,99,101,1
116,5,144,144,1
144,144,144,144,1
195,229,64,3,1
208,229,64,134,1
64,134,224,5,1
232,227,234,255,1
